"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"3231",1,"823","",3,"","",""
"3230",1,"821","",3,"","",""
"3229",1,"811","",3,"","",""
"3228",1,"802","",3,"","",""
"3227",1,"801","",3,"","",""
"3226",1,"741","",3,"","",""
"3225",1,"732","",3,"","",""
"3224",1,"731","",3,"","",""
"3223",1,"711","",3,"","",""
"3221",1,"703","",3,"","",""
"3220",1,"702","",3,"","",""
"3219",1,"701","",3,"","",""
"3218",1,"632","",3,"","",""
"3217",1,"631","",3,"","",""
"3216",1,"623","",3,"","",""
"3214",1,"612","",3,"","",""
"3212",1,"601","",3,"","",""
"3210",1,"501","",3,"","",""
"3209",1,"413","",3,"","",""
"3208",1,"412","",3,"","",""
"3207",1,"411","",3,"","",""
"3205",1,"406","",3,"","",""
"3204",1,"401","",3,"","",""
"3203",1,"362","",3,"","",""
"3202",1,"361","",3,"","",""
"3201",1,"333","",3,"","",""
"3200",1,"326","",3,"","",""
"3199",1,"274","",3,"","",""
"3198",1,"273","",3,"","",""
"3197",1,"244","",3,"","",""
"3196",1,"243","",3,"","",""
"3195",1,"242","",3,"","",""
"3194",1,"235","",3,"","",""
"3193",1,"234","",3,"","",""
"3192",1,"232","",3,"","",""
"3191",1,"231","",3,"","",""
"3187",1,"175","",3,"","",""
"3186",1,"174","",3,"","",""
"3185",1,"173","",3,"","",""
"3183",1,"162","",3,"","",""
"3181",1,"154","",3,"","",""
"3180",1,"153","",3,"","",""
"3178",1,"148","",3,"","",""
"3177",1,"147","",3,"","",""
"3175",1,"139","",3,"","",""
"3174",1,"138","",3,"","",""
"3173",1,"136","",3,"","",""
"3171",1,"120","",3,"","",""
"3169",1,"115","",3,"","",""
"3168",1,"112","",3,"","",""
"3167",1,"111","",3,"","",""
"3154",1,"607","",3,"","",""
"3153",1,"603","",3,"","",""
"3136",1,"611","",3,"","",""
"3127",1,"404","",3,"","",""
"3041",1,"604","",3,"","",""
"3040",1,"602","",3,"","",""
"3038",1,"432","",3,"","",""
"3034",1,"137","",3,"","",""
"3008",1,"461","",3,"","",""
"2997",1,"189","",3,"","",""
"2996",1,"188","",3,"","",""
"2964",1,"324","",3,"","",""
