id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
2325,EFKT,large_airport,Kittilä International Airport,67700996.0,248468.0,644.0,EU,FI,FI-10,Kittilä,yes,EFKT,KTT,EFKT,,http://www.finavia.fi/en/kittila/,https://en.wikipedia.org/wiki/Kittil%C3%A4_Airport,
2326,EFKU,large_airport,Kuopio Airport,63007099.0,277978.0,323.0,EU,FI,FI-15,Kuopio / Siilinjärvi,yes,EFKU,KUO,EFKU,,https://www.finavia.fi/en/kuopio/,https://en.wikipedia.org/wiki/Kuopio_Airport,
2329,EFLP,large_airport,Lappeenranta Airport,61044601.0,28144743.0,349.0,EU,FI,FI-02,Lappeenranta,yes,EFLP,LPP,EFLP,,https://lppairport.fi/en,https://en.wikipedia.org/wiki/Lappeenranta_Airport,
2330,EFMA,medium_airport,Mariehamn Airport,601222.0,19898199.0,17.0,EU,FI,FI-01,Mariehamn,yes,EFMA,MHQ,EFMA,,http://www.finavia.fi/en/mariehamn/,https://en.wikipedia.org/wiki/Mariehamn_Airport,
2334,EFOU,large_airport,Oulu Airport,64930099.0,25354601.0,47.0,EU,FI,FI-14,Oulu / Oulunsalo,yes,EFOU,OUL,EFOU,,https://www.finavia.fi/en/oulu/,https://en.wikipedia.org/wiki/Oulu_Airport,
2336,EFPO,medium_airport,Pori Airport,614617.0,21799999.0,44.0,EU,FI,FI-17,Pori,yes,EFPO,POR,EFPO,,http://www.finavia.fi/en/pori/,https://en.wikipedia.org/wiki/Pori_Airport,
2341,EFRO,large_airport,Rovaniemi Airport,66563327.0,25829751.0,642.0,EU,FI,FI-10,Rovaniemi,yes,EFRO,RVN,EFRO,,http://www.finavia.fi/en/rovaniemi/,https://en.wikipedia.org/wiki/Rovaniemi_Airport,
2343,EFSA,medium_airport,Savonlinna Airport,619431.0,28945101.0,311.0,EU,FI,FI-04,Savonlinna,yes,EFSA,SVL,EFSA,,http://www.finavia.fi/en/savonlinna/,https://en.wikipedia.org/wiki/Savonlinna_Airport,
2347,EFTP,large_airport,Tampere-Pirkkala Airport,61414101.0,23604401.0,390.0,EU,FI,FI-11,Tampere / Pirkkala,yes,EFTP,TMP,EFTP,,https://www.finavia.fi/en/tampere-pirkkala/,https://en.wikipedia.org/wiki/Tampere-Pirkkala_Airport,
2349,EFTU,large_airport,Turku Airport,60514099.0,222628.0,161.0,EU,FI,FI-19,Turku,yes,EFTU,TKU,EFTU,,https://www.finavia.fi/en/turku/,https://en.wikipedia.org/wiki/Turku_Airport,
2351,EFVA,large_airport,Vaasa Airport,6305023.0,21762543.0,19.0,EU,FI,FI-12,Vaasa,yes,EFVA,VAA,EFVA,,http://www.finavia.fi/en/vaasa/,https://en.wikipedia.org/wiki/Vaasa_Airport,
2385,EGAA,large_airport,Belfast International Airport,546575000000.0,-6.21583e+16,268.0,EU,GB,GB-NIR,Belfast,yes,EGAA,BFS,EGAA,,http://www.belfastairport.com/,https://en.wikipedia.org/wiki/Belfast_International_Airport,"Aldergrove, RAF Aldergrove"
2387,EGAC,medium_airport,George Best Belfast City Airport,54618099.0,-58725.0,15.0,EU,GB,GB-NIR,Belfast,yes,EGAC,BHD,EGAC,,http://www.belfastcityairport.com/,https://en.wikipedia.org/wiki/George_Best_Belfast_City_Airport,
2388,EGAE,medium_airport,City of Derry Airport,55042801.0,-716111.0,22.0,EU,GB,GB-NIR,"Derry, Derry and Strabane",yes,EGAE,LDY,EGAE,,http://www.cityofderryairport.com/,https://en.wikipedia.org/wiki/City_of_Derry_Airport,Londonderry Eglinton Airport
2389,EGBB,large_airport,Birmingham Airport,52453899.0,-174803.0,327.0,EU,GB,GB-ENG,"Birmingham, West Midlands",yes,EGBB,BHX,EGBB,,https://www.birminghamairport.co.uk/,https://en.wikipedia.org/wiki/Birmingham_Airport,Birmingham International Airport
2398,EGCC,large_airport,Manchester Airport,53349375.0,-2279521.0,257.0,EU,GB,GB-ENG,"Manchester, Greater Manchester",yes,EGCC,MAN,EGCC,,http://www.manchesterairport.co.uk/,https://en.wikipedia.org/wiki/Manchester_Airport,"Ringway Airport, RAF Ringway"
