origin,lat_origin,lon_origin,formatted_origin,destination,lat_destination,lon_destination,formatted_destination,country
LTN,51.877774,-0.373442,"London Luton Airport, Luton, LU2 9LY, United Kingdom",London St. Pancras International,51.5327196,-0.1270027,"London St. Pancras International, Euston Road, City of London, N1C 4QP, United Kingdom",United Kingdom
LGW,51.156556,-0.1616,"London Gatwick Airport, Crawley, RH6 0NN, United Kingdom",London St. Pancras International,51.5327196,-0.1270027,"London St. Pancras International, Euston Road, City of London, N1C 4QP, United Kingdom",United Kingdom
LHR,51.47,-0.4543,"Expeditors LHR, London, TW14 8RS, United Kingdom",London St. Pancras International,51.5327196,-0.1270027,"London St. Pancras International, Euston Road, City of London, N1C 4QP, United Kingdom",United Kingdom
London Liverpool Street,51.5182105,-0.0814269,"London Liverpool Street, Great Eastern Walkway, City of London, EC2M 3AJ, United Kingdom",London St. Pancras International,51.5327196,-0.1270027,"London St. Pancras International, Euston Road, City of London, N1C 4QP, United Kingdom",United Kingdom
Colchester,51.8896903,0.8994651,"yes, Colchester, ENG, United Kingdom",London Liverpool Street,51.5182105,-0.0814269,"London Liverpool Street, Great Eastern Walkway, City of London, EC2M 3AJ, United Kingdom",United Kingdom
Colchester,51.8896903,0.8994651,"yes, Colchester, ENG, United Kingdom",Harwich International,51.9452,1.253,"Harwich Redoubt Fort, Harwich, CO12 3LT, United Kingdom",United Kingdom
CDG,49.0068908,2.571081969101916,"Charles de Gaulle International Airport, 93290 Tremblay-en-France, France",Paris Nord,48.881399,2.357438,"Gare du Nord (RER), Rue du Faubourg Saint-Denis, 75010 Paris, France",France
CDG,49.0068908,2.571081969101916,"Charles de Gaulle International Airport, 93290 Tremblay-en-France, France",Paris Est,48.8770979,2.3594905,"Paris Gare de l'Est, Place du 11 Novembre 1918, 75010 Paris, France",France
CDG,49.0068908,2.571081969101916,"Charles de Gaulle International Airport, 93290 Tremblay-en-France, France",Marne la Vallée-Chessy,48.87026355,2.782803052345335,"Marne-la-Vallée – Chessy, Place des Passagers du Vent, 77700 Chessy, France",France
CDG,49.0068908,2.571081969101916,"Charles de Gaulle International Airport, 93290 Tremblay-en-France, France",ORY,48.73005955,2.367831255814345,"Paris–Orly Airport, D 118, 91380 Chilly-Mazarin, France",France
